# ALTITUDE = 41000, ZA = 45.00
# SERIES = OC2A
# END_DATE = 2014-02-27
#
#SPECTEL   FLIPO  REFCALFC   REFCALER
#
# MODE = Flipo
FLT_J        1    183073.56  9153.68
FLT_H        1    212973.61  10648.68
FLT_Pa       1    10311.20   517.54
FLT_Pa_Cont  1    10301.30   517.17
FLT_K        1    130563.17  6528.16
FLT_ICE_308  1    34596.57   1729.85
FLT_PAH_329  1    20103.98   1005.23
FLT_NbL      1    44772.87   2238.66
