# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC9J
# END_DATE = 2022-02-19
#
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#
# MODE = Single
FOR_F056      0      0.121494      0.001589
FOR_F064      0      0.173706      0.002247
FOR_F066      0      0.154643      0.006484
FOR_F077      0      0.371840      0.004804
FOR_F086      0      0.078471      0.002625
FOR_F088      0      0.295181      0.003814
FOR_F111      0      0.432081      0.005599
FOR_F112      0      0.909488      0.012178
FOR_F113      0      0.098806      0.001571
FOR_F118      0      0.369542      0.007577
FOR_F197      0      0.685373      0.009070
FOR_F242      0      0.727330      0.015141
FOR_F253      0      0.198810      0.002855
FOR_F315      0      0.648511      0.010497
FOR_F336      0      0.123055      0.002937
FOR_F348      0      0.317654      0.006697
FOR_F371      0      0.146565      0.003130
# MODE = Dual                  
FOR_F054      1      0.013758      0.000754
FOR_F064      1      0.144676      0.002007
FOR_F066      1      0.085013      0.004457
FOR_F077      1      0.261149      0.003624
FOR_F088      1      0.268202      0.003722
FOR_F111      1      0.345418      0.004797
FOR_F112      1      0.638240      0.008256
FOR_F197      1      0.622714      0.008208
FOR_F253      1      0.163834      0.002273
FOR_F315      1      0.306429      0.004285
FOR_F336      1      0.054748      0.001371
FOR_F348      1      0.147364      0.002541
FOR_F371      1      0.060089      0.001029
