# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC3I
# END_DATE = 2015-09-22            
#                  
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#                  
# MODE = Single
FOR_F064      0      0.138606      0.004497
FOR_F066      0      0.142237      0.010147
FOR_F077      0      0.324452      0.008193
FOR_F086      0      0.076111      0.003124
FOR_F111      0      0.428970      0.015392
FOR_F113      0      0.078660      0.001669
FOR_F118      0      0.219850      0.007783
FOR_F197      0      0.649114      0.025172
FOR_F242      0      0.417986      0.017110
FOR_F253      0      0.170108      0.005011
FOR_F315      0      0.348322      0.038533
FOR_F336      0      0.104183      0.006339
FOR_F348      0      0.199304      0.020867
FOR_F371      0      0.095944      0.006134
# MODE = Dual
FOR_F064      1      0.110580      0.003042
FOR_F066      1      0.077430      0.005066
FOR_F077      1      0.224988      0.005818
FOR_F111      1      0.344906      0.019082
FOR_F197      1      0.568398      0.029919
FOR_F253      1      0.141989      0.015709
FOR_F315      1      0.172687      0.009776
FOR_F336      1      0.044700      0.005446
FOR_F348      1      0.100274      0.012683
FOR_F371      1      0.054915      0.004202
