# ALTITUDE = 41000      ZA = 45.00
# SERIES = OC8I
# END_DATE = 2021-04-09
#
#SPECTEL   DICHROIC  REFCALFC      REFCALER
#
# MODE = Single
FOR_F056	0	0.133916	0.006696
FOR_F064	0	0.157996	0.007900
FOR_F066	0	0.154643	0.006484
FOR_F077	0	0.346805	0.010013
FOR_F086	0	0.078471	0.002625
FOR_F088	0	0.273348	0.013668
FOR_F111	0	0.407242	0.011777
FOR_F112	0	0.823090	0.041158
FOR_F113	0	0.080054	0.008779
FOR_F118	0	0.248229	0.049878
FOR_F197	0	0.654089	0.032748
FOR_F242	0	0.476028	0.125804
FOR_F253	0	0.175512	0.005167
FOR_F315	0	0.661143	0.033278
FOR_F336	0	0.094750	0.016450
FOR_F348	0	0.214234	0.052625
FOR_F371	0	0.144869	0.004366
# MODE = Dual
FOR_F054	1	0.013758	0.000754
FOR_F064	1	0.123246	0.015473
FOR_F066	1	0.085013	0.004457
FOR_F077	1	0.241925	0.006985
FOR_F088	1	0.256800	0.009082
FOR_F111	1	0.329904	0.011668
FOR_F112	1	0.639646	0.088310
FOR_F197	1	0.597958	0.021180
FOR_F253	1	0.151632	0.004426
FOR_F315	1	0.312324	0.011140
FOR_F336	1	0.055649	0.001762
FOR_F348	1	0.143444	0.004325
FOR_F371	1	0.061606	0.001916
