date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20180201	1.31626937	1.15918451	0.62819271	1.40782379	0.50560634	0.71236172	1.28081063	1.03779518	1.68669598	0.58197227	1.55838332	1.29371176	0.95506784	0.98705508	0.66324239	1.28437902	0.76399474	0.87562680	1.23002649	0.69654250	0.83052283	1.21911416	1.10929266	0.93053665	0.20284729
20180801	1.28845843	1.12027533	0.63975353	1.36762057	0.60339114	0.72952572	1.21055323	1.00767044	1.64030263	0.67790040	1.56848886	1.23173708	0.88873830	0.98362663	0.83790103	1.26553020	0.74941305	0.92628753	1.14012289	0.87801717	0.82188574	1.18525394	1.05058871	0.97151728	0.28066521
20181001	1.24165779	1.13158849	0.60745981	1.31010988	0.68415112	0.69424409	1.21716761	0.97975107	1.64346451	0.74621122	1.52809671	1.23631828	0.85610074	0.95056707	0.96141012	1.25955762	0.75019632	0.88714583	1.09219131	1.07181427	0.82318027	1.17622910	0.99674592	0.95880701	0.34086106
20190201	1.23488508	1.12987865	0.61517446	1.33795210	0.65470330	0.69144242	1.21376690	0.97159658	1.60534127	0.73357311	1.54156262	1.25295376	0.84327919	0.92568416	0.96299398	1.26895863	0.75477889	0.88133791	1.09387638	1.07879967	0.80890552	1.17443341	1.01119120	0.95903654	0.34590826
20190401	1.17016582	1.17755111	0.61067534	1.29437162	0.69508001	0.67283884	1.21003336	0.95310375	1.60557598	0.76931162	1.49413920	1.23240347	0.83937267	1.01337585	0.99655585	1.26894252	0.75618535	0.86816640	1.08008173	1.09287855	0.80286119	1.16577811	0.99835415	0.93366757	0.35762053
20191001	1.13413220	1.13992904	0.59441219	1.31376740	0.71740389	0.62170268	1.23023772	0.94048452	1.58561919	0.79594700	1.48811043	1.27676030	0.80931053	0.88847881	1.11370551	1.23838401	0.76352595	0.83684028	1.07819597	1.27624700	0.77169274	1.15975559	0.95636123	0.93285427	0.44162781
20200201	1.20105761	1.13371843	0.60271468	1.33016273	0.72221393	0.67247439	1.21004388	0.95217744	1.61391136	0.77058707	1.47526092	1.25724297	0.85158538	0.97517448	0.99685409	1.25921447	0.74947632	0.85824088	1.13495247	1.11031566	0.79347195	1.15876399	0.96630635	0.94213914	0.36220344
99999999	1.19851320	1.12543451	0.60602160	1.34910543	0.66064634	0.65956047	1.20687897	0.97298865	1.60532659	0.75711865	1.49611378	1.24577853	0.83964366	0.93497549	0.99821854	1.27417131	0.74119104	0.87450260	1.14371930	1.12694782	0.78990941	1.16784955	1.00224214	0.94186294	0.36036547
