date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20180201	0.95316030	0.93687224	1.09238755	1.03625407	0.35543107	0.95171377	1.14412190	1.15589074	0.95475828	0.50289678	1.16923292	1.22387061	0.90248661	0.98220711	0.61498363	1.26964830	1.29957430	1.43422582	1.29243533	0.55031982	0.99673570	1.46154470	0.82464429	1.10126655	0.62517760
20180801	0.99050728	0.93316936	1.09951085	1.01616490	0.33419150	0.98803202	1.14139277	1.15235319	0.93774380	0.46642840	1.15758718	1.23838990	0.89610718	0.99177002	0.56453339	1.29147268	1.27300727	1.39779781	1.25253487	0.49618803	0.98265811	1.45782119	0.81018809	1.07581612	0.58860383
20181001	0.95227850	0.93563298	1.08829131	1.03259488	0.37245861	0.96368327	1.12927659	1.13403661	0.94539242	0.49717441	1.15191637	1.24568715	0.90657803	1.00000000	0.60324580	1.27404608	1.28872783	1.40562128	1.27512375	0.53721140	0.98308250	1.45139020	0.83081984	1.09285162	0.63726466
20190201	0.85327371	0.93573522	1.09881521	1.06474656	0.45231114	0.88704020	1.11748675	1.14310602	0.96746240	0.59733711	1.03365881	1.24519381	0.88369839	1.00000000	0.71545771	1.17015855	1.28085024	1.39619905	1.28731988	0.64765086	0.89833170	1.43484198	0.82555207	1.09362021	0.77158571
20190401	0.90021291	0.93185587	1.09244561	1.05688373	0.41682247	0.91945859	1.11977229	1.12613567	0.95757454	0.56044435	1.09029429	1.24550033	0.90395168	1.00000000	0.66732470	1.22509457	1.28797370	1.39000856	1.28415735	0.59968982	0.92141096	1.44238942	0.81441224	1.09036978	0.71260570
20191001	0.96474161	0.91458385	1.06738112	1.02216071	0.32454737	0.97682821	1.11097076	1.12012529	0.93604013	0.45527157	1.14099732	1.24225776	0.87707683	0.99366131	0.56725936	1.26511756	1.28717334	1.39909061	1.26910161	0.51089912	0.99563122	1.44758745	0.81738198	1.08772167	0.60328443
20200201	1.00173925	0.91464403	1.03942780	0.95180690	0.25255067	0.99634281	1.10443711	1.11487851	0.88880940	0.35660095	1.17392302	1.23173611	0.88960073	0.94175184	0.46840248	1.30118902	1.24941478	1.37428995	1.19395753	0.42215050	1.00096670	1.42780548	0.80693196	1.03939912	0.50152938
99999999	1.00560428	0.91551848	1.02142897	0.96984835	0.25555804	0.99965332	1.10753697	1.11863717	0.90072114	0.37454584	1.15487602	1.23560438	0.86593426	0.95905502	0.48301595	1.29594563	1.27250050	1.38822480	1.21417294	0.43196920	0.99784590	1.44107969	0.81289142	1.04893450	0.51013119
