date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20180201	1.40246009	1.13505618	0.64030216	1.42370482	0.56218189	0.72545855	1.40190359	1.19148455	1.65518421	0.64020874	1.66767435	1.41424610	0.90857585	1.00000000	0.84788354	1.39615896	0.84454829	0.97323341	1.25243127	0.93951198	0.86917115	1.26642627	1.10303523	0.98364395	0.28678759
20180801	1.33035490	1.11261340	0.64205461	1.37159951	0.62296693	0.73891982	1.29166720	1.11467623	1.55885738	0.65918016	1.51987988	1.27238596	0.90356944	1.00000000	0.79926677	1.29167476	0.80125323	0.94847534	1.20672899	0.87413459	0.85562619	1.21394134	1.04969416	0.97887254	0.28196409
20181001	1.27510961	1.12234040	0.61298625	1.33864490	0.66856625	0.71105990	1.30637780	1.08228622	1.57444637	0.71923530	1.53279133	1.29268150	0.85853499	0.94910370	0.93160611	1.29219608	0.79213242	0.91367439	1.17469945	1.03738256	0.84059825	1.19113055	1.00000000	0.98111233	0.34931053
20190201	1.29261705	1.10408976	0.61607295	1.33320068	0.64085583	0.71019218	1.30494117	1.07927449	1.57113075	0.70770549	1.54688279	1.28744167	0.84813131	0.93751909	0.94374810	1.28894045	0.79455869	0.91042677	1.16277954	1.03367956	0.83969956	1.18051927	1.00000000	0.98149522	0.35800635
20190401	1.15858235	1.14074368	0.59069697	1.27413389	0.68971560	0.67159671	1.26364471	1.02592097	1.51373469	0.73798175	1.44245214	1.24850074	0.82591946	1.00000000	0.93798548	1.22811721	0.77410530	0.87591643	1.10584353	1.02751352	0.79904131	1.14157068	0.96093375	0.93673157	0.36768454
20191001	1.13850661	1.08387643	0.57061516	1.25501157	0.69669637	0.62304267	1.28752241	1.00000000	1.48401191	0.75656137	1.42059854	1.28201712	0.78672302	0.88721883	1.03799035	1.23862157	0.78488381	0.84360517	1.11952618	1.15941518	0.79105168	1.15713693	0.93892605	0.93503038	0.42348149
20200201	1.24496802	1.13502446	0.60694417	1.34718508	0.71451642	0.67765883	1.29105087	1.05269402	1.56120753	0.76402475	1.45500282	1.28890253	0.86049217	1.00000000	0.97400605	1.28796343	0.79877280	0.89679625	1.20571066	1.08535824	0.83669064	1.17453106	0.97291236	0.97381437	0.37492114
20200801	1.25253827	1.10048985	0.59800948	1.31316809	0.62370242	0.67225359	1.30644007	1.06842916	1.54363493	0.70202610	1.56687723	1.29189014	0.81969008	0.85553588	0.98144630	1.28888333	0.79170339	0.89760308	1.15147383	1.08334640	0.82653432	1.17283697	1.00000000	0.94791494	0.37179444
20210401	1.34260910	1.08508174	0.62170772	1.37864989	0.60551083	0.71503158	1.28611908	1.11339916	1.60481293	0.64429097	1.58487337	1.31680814	0.89042883	0.92552112	0.88906841	1.32052550	0.80985035	0.93872381	1.19360381	1.00000000	0.85788135	1.20847788	1.05353886	0.96651775	0.32446352
20210501	1.37898114	1.15544024	1.00000000	1.41040858	0.63442180	0.73361457	1.35838424	1.13985514	1.63561393	0.67993757	1.61842387	1.33903487	0.89888632	0.97452334	0.91101546	1.35007827	0.82503471	0.95490579	1.21702884	1.00000000	1.00000000	1.24464292	1.06384819	0.99595682	0.32319449
20211201	1.37898114	1.15544024	1.00000000	1.41040858	0.63442180	0.73361457	1.35838424	1.13985514	1.63561393	0.67993757	1.61842387	1.33903487	0.89888632	0.97452334	0.91101546	1.35007827	0.82503471	0.95490579	1.21702884	1.00000000	1.00000000	1.24464292	1.06384819	0.99595682	0.32319449
20220201	1.08245768	1.11475490	1.00000000	1.27251226	0.73590622	0.58336136	1.31057067	1.00000000	1.48446406	1.00000000	1.36890342	1.26315249	0.78666243	0.91852926	1.09779555	1.20038397	0.78906582	0.83411363	1.12904302	1.26546852	1.00000000	1.13298772	0.92390947	0.93035442	0.46714507
20220801	1.10520406	1.02543638	1.00000000	1.25978726	0.74739578	0.57495429	1.28747885	1.00000000	1.48082061	1.00000000	1.36191595	1.29108580	0.77572673	0.83086123	1.12618277	1.18042060	0.77834952	0.82271819	1.11518666	1.29471821	1.00000000	1.12289355	0.90699303	0.91644645	0.47590392
99999999	1.21006488	1.11317605	1.00000000	1.33579821	0.70832689	0.66401050	1.29523164	1.06086742	1.55786629	1.00000000	1.46540975	1.27760380	0.83851086	0.94270318	1.00000000	1.26449967	0.79521338	0.89763105	1.16476826	1.12296454	1.00000000	1.17162697	0.98069610	0.97862195	0.38605971
