date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20180201	0.95640195	0.90255945	1.01358425	0.91937263	0.31886304	1.03201247	1.06442681	1.08602604	0.97921260	0.45252371	1.18977458	1.18796704	0.95839940	1.02346495	0.55753140	1.29298956	1.29552250	1.33462368	1.27273995	0.52702357	0.87511527	1.21784850	0.79206781	1.03439930	0.58197218
20180801	0.97371139	0.89311459	0.99991709	0.90875232	0.30427909	1.04192646	1.04770274	1.08941835	0.94297097	0.44964009	1.11036650	1.18023337	0.94636751	1.02882975	0.53129838	1.29440140	1.23649768	1.26175745	1.21227534	0.49356871	0.87811360	1.21187081	0.77370053	1.00055681	0.55828076
20181001	0.95609542	0.89799491	1.00849271	0.92830147	0.32983275	1.04037676	1.04883326	1.05107226	0.94253416	0.48117393	1.15335309	1.20325669	0.97203069	1.04691427	0.56511104	1.30194365	1.27383569	1.30281684	1.24484597	0.53678497	0.89128636	1.20758164	0.79575758	1.02577482	0.60930434
20190201	0.90393503	0.92286524	1.00173945	0.95721058	0.42307353	1.01249675	1.05351472	1.08351422	0.98637684	0.59157294	1.08642257	1.22406170	0.94846393	1.06634375	0.68260773	1.27929920	1.27462982	1.30522863	1.27552932	0.64958822	0.87083081	1.21816006	0.80002355	1.02908926	0.74501639
20190401	0.92810527	0.91728772	1.00769215	0.95235019	0.40306528	1.02271739	1.05276119	1.07164201	0.97284575	0.54485289	1.09617074	1.22296251	0.96580373	1.06335903	0.63601582	1.28803517	1.27499823	1.30898401	1.27273379	0.61110641	0.86500926	1.22922599	0.79447786	1.03439308	0.69741901
20191001	0.97360324	0.89693738	0.98794193	0.91712095	0.30260215	1.04763298	1.03425193	1.05056916	0.95731636	0.43902187	1.12198659	1.20775568	0.94175622	1.03530498	0.52989612	1.29541149	1.27555638	1.30522440	1.23439278	0.50411110	0.89846273	1.22867748	0.79515192	1.01278169	0.57252087
20200201	1.00294706	0.89983010	1.00041451	0.85753989	0.23894264	1.06390923	1.04225535	1.07942276	0.91246120	0.35830298	1.13003052	1.20620438	0.96416348	1.00830417	0.45549177	1.31963093	1.24559054	1.29850889	1.18287102	0.43488149	0.91781985	1.21361306	0.78997356	0.98766232	0.49625522
20210401	0.99291012	0.89101593	0.97070685	0.86023062	0.23675356	1.05670808	1.03681413	1.06286626	0.91472319	0.35978859	1.11602026	1.20653380	0.91961004	1.01117716	0.46025540	1.31244443	1.25705201	1.29526520	1.19075361	0.43679027	0.89278819	1.21788139	0.79644516	0.99006466	0.49757918
20210501	0.80676788	0.92889329	1.00268323	0.98501583	0.59832284	0.93689739	1.06767127	1.07318903	1.00905835	0.78932981	1.03238290	1.23102459	0.94358386	1.08297210	0.87075392	1.18155982	1.31719181	1.30846874	1.29379569	0.82812398	0.78886926	1.25006642	0.78616999	1.03988379	0.95214352
20211201	0.80676788	0.92889329	1.00268323	0.98501583	0.59832284	0.93689739	1.06767127	1.07318903	1.00905835	0.78932981	1.03238290	1.23102459	0.94358386	1.08297210	0.87075392	1.18155982	1.31719181	1.30846874	1.29379569	0.82812398	0.78886926	1.25006642	0.78616999	1.03988379	0.95214352
20220201	0.94072693	0.90342633	0.98922586	0.95297843	0.38934239	1.03386282	1.05812490	1.07864227	0.97039782	0.54585008	1.11667991	1.22265450	0.96077892	1.07034490	0.62858406	1.28738203	1.27545005	1.30766402	1.27131555	0.60168340	0.87319262	1.23528801	0.77758134	1.03093664	0.68526378
99999999	0.89114359	0.89712495	0.98564494	0.95989557	0.45300715	0.99463085	1.05836436	1.07989187	0.99791506	0.62788743	1.10873251	1.23606488	0.96159172	1.07965478	0.71744203	1.27346105	1.29890358	1.32333601	1.31324093	0.69915724	0.85696215	1.27032041	0.79615744	1.06121869	0.78950659
