date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20180201	1.51106532	1.23659272	0.70875789	1.56089930	0.60844834	0.75436755	1.47540533	1.29437722	1.81842215	0.68227767	1.70823218	1.48429411	0.92874262	0.99498045	0.91286702	1.39000204	0.86704184	1.00000000	1.31226525	0.99755736	0.88772673	1.29393196	1.10965174	0.99808553	0.28639368
20180801	1.37215570	1.15532243	0.66820491	1.40917473	0.65490843	0.73879520	1.31824438	1.14580306	1.61762772	0.67292883	1.46174023	1.27367296	0.90659319	1.03799681	0.83420308	1.23226477	0.78645615	0.93697245	1.20468229	0.85483243	0.81866423	1.15954364	1.00000000	0.94815296	0.27119372
20181001	1.32784666	1.19477530	0.65382197	1.39854486	0.76305987	0.72664082	1.33378420	1.12923409	1.62019718	0.77606608	1.46103140	1.30231163	0.88556198	0.99470445	0.97633441	1.25040280	0.81167156	0.93493648	1.15708428	1.06050220	0.82800638	1.17047810	1.00000000	0.95914671	0.33395000
20190201	1.36399107	1.18037469	0.66429360	1.42802696	0.64162275	0.71707979	1.33046452	1.13551427	1.61988195	0.74509078	1.52917481	1.31069055	0.85092451	0.95663570	0.99888347	1.26158915	0.81708023	0.93321978	1.15707567	1.06392927	0.84050938	1.18480488	1.00000000	0.96438656	0.34812165
20190401	1.13501001	1.16085862	0.61049518	1.27913060	0.70924944	0.63541123	1.23792629	1.03128795	1.48618544	0.73723576	1.32103739	1.19377098	0.80545848	1.01086992	0.93906972	1.14008062	0.76283403	0.84980537	1.05474950	1.00000000	0.75424383	1.08765986	0.91071217	0.86395358	0.33463625
20191001	1.12005947	1.09418807	0.60081987	1.30809870	0.61557572	0.58294101	1.23887287	1.00000000	1.45216744	0.75276019	1.34738656	1.24264049	0.74734677	0.81677761	1.08745107	1.10500677	0.73821384	0.81770857	1.02967672	1.19635746	0.71836184	1.06298561	0.88719662	0.86259602	0.42852697
20200201	1.15456149	1.11159040	0.59104177	1.29472170	0.75292678	0.61939551	1.22651184	1.00000000	1.45506559	0.77201930	1.24542314	1.20289049	0.82746479	1.03154836	0.91240441	1.14035141	0.73796945	0.83622689	1.16905848	1.01037385	0.73195992	1.06224508	0.88671956	0.86773242	0.32793631
20200801	1.26498018	1.19242503	0.64324722	1.39459044	0.69854464	0.67199336	1.32282866	1.10315238	1.59900658	0.76783402	1.43430319	1.31859919	0.86932880	0.86991658	1.00000000	1.25441547	0.77892257	0.89598204	1.22576087	1.11489499	0.78524592	1.16167624	0.99343417	0.95053666	0.35961226
20210401	1.41176551	1.16974368	0.66741729	1.45015759	0.65812414	0.72328517	1.36454659	1.16932240	1.65008050	0.71910790	1.58834912	1.33919992	0.88476116	0.92157199	0.93814015	1.28641484	0.81368203	0.94802095	1.15686409	1.00000000	0.83978411	1.21046089	1.04033833	0.95888237	0.31307334
20210501	1.38645571	1.18801912	1.00000000	1.42581437	0.61689614	0.71180635	1.36167303	1.15783766	1.62605823	0.69584376	1.60264635	1.33033795	0.86870902	1.00000000	0.92129256	1.27189280	0.80087910	0.91889671	1.15904000	0.99129518	1.00000000	1.18222341	1.01556734	0.92929347	0.30462716
20211201	1.38645571	1.18801912	1.00000000	1.42581437	0.61689614	0.71180635	1.36167303	1.15783766	1.62605823	0.69584376	1.60264635	1.33033795	0.86870902	1.00000000	0.92129256	1.27189280	0.80087910	0.91889671	1.15904000	0.99129518	1.00000000	1.18222341	1.01556734	0.92929347	0.30462716
20220201	1.06631917	1.10155638	1.00000000	1.26735707	0.71220008	0.55787542	1.29048504	1.00000000	1.46207011	1.00000000	1.27180484	1.24814402	0.76159639	0.87352258	1.09204126	1.09825466	0.75267557	0.80716716	1.07175451	1.21949364	1.00000000	1.06269404	0.87717299	0.84603256	0.43623301
20220801	1.04151004	1.08709447	1.00000000	1.26382707	0.70093519	0.53783554	1.25872326	1.00000000	1.44962199	1.00000000	1.23794768	1.24101965	0.75491816	0.82358966	1.10696387	1.07651052	0.72903428	0.79019222	1.09405006	1.26067925	1.00000000	1.05260529	0.86487945	0.83100774	0.44746191
99999999	1.20135463	1.10447539	1.00000000	1.33663414	0.68428644	0.64675375	1.27958727	1.05480671	1.50975432	1.00000000	1.41798898	1.24753020	0.78028226	0.85399106	1.00000000	1.18242604	0.74995266	0.85978951	1.04772111	1.10026467	1.00000000	1.09936544	0.92502911	0.88237316	0.35703133
