0.7249	0.7874	0.8455	0.8643	1.0127	1.0701	1.0334	1.1847	1.0996	1.1352	0.9878	0.9932	1.0068	1.0201	0.8150	0.8544
0.8455	0.8439	0.9790	1.0862	1.1613	1.3002	1.2707	1.0046	1.0447	0.9600	1.1721	0.9954	0.9554	0.8779	1.0055	0.8206
0.6702	0.7362	0.9577	0.9810	1.0222	1.1807	1.1831	1.1752	1.1474	1.3007	1.0378	0.9923	0.9596	0.9705	1.0077	0.7863
0.6276	0.7391	0.8724	0.9990	1.0281	1.1643	1.1745	1.0665	1.0010	1.1563	1.1559	0.9737	1.0200	0.8883	0.9363	0.7371
0.0000	0.7504	0.7957	0.8736	0.9774	1.0574	1.1178	1.0672	1.1549	1.2439	1.0210	1.0000	0.9093	1.0491	0.9774	0.9186
0.8062	0.8420	0.8345	0.9328	1.1745	1.0915	1.2006	1.0432	1.1692	1.1094	1.0664	1.0183	0.9817	0.9264	0.8370	0.9007
0.6871	0.8028	0.8771	0.9436	1.0653	1.0309	1.1813	1.1852	1.0884	1.0501	1.0724	1.0330	0.9691	0.9086	0.8319	0.9267
0.9117	0.8021	0.8571	0.9506	0.9809	1.1210	1.1931	1.1237	1.1202	1.0957	1.1244	1.0815	1.0191	0.9185	0.8685	0.9197
0.7632	0.8240	0.8392	0.8420	0.9936	1.0064	1.1311	1.0615	1.0767	1.0916	1.0272	1.0173	0.9687	1.0148	0.8780	0.8018
0.6843	0.7278	0.8412	0.9832	1.0174	1.0327	1.0638	1.1615	0.9836	1.0085	1.1816	0.8968	0.8922	0.9915	1.0630	1.0727
0.7324	0.6298	0.7403	0.7926	0.9760	1.0827	1.1673	1.0389	1.0078	1.0594	0.9922	0.9513	1.0509	1.0224	0.9080	1.0557
0.7374	0.8459	0.9217	1.0070	1.1650	1.2276	1.1540	0.9337	1.0517	1.2763	1.1114	0.9930	0.9873	0.0000	0.0000	0.7911
0.9038	0.8551	0.8380	0.9802	1.1300	1.0848	1.1488	0.9841	1.1013	1.0000	1.0382	1.0136	1.0000	0.8267	0.8296	1.0146
0.9300	0.9190	0.9934	1.0470	1.0000	1.1692	1.2182	1.1966	1.1250	1.0881	1.1738	0.9855	0.9964	0.0000	0.8933	0.8922
0.6466	0.7167	0.8356	0.8799	0.9851	1.2223	1.0953	1.0831	1.0221	1.0642	1.0820	1.1485	1.0149	0.8484	0.9139	0.8482
0.6731	0.7782	0.9143	0.9933	1.0049	1.0461	1.1037	1.0347	1.0859	1.0070	0.9951	1.0584	1.0250	0.9829	0.9306	0.8989
0.8242	0.6883	0.7865	0.8280	1.0081	1.1071	0.9671	1.1325	1.0532	1.0989	0.9947	1.0103	1.0862	0.9246	0.8772	1.0053
0.6843	0.8322	0.7961	0.8387	1.0319	1.0299	1.1715	1.0638	1.0195	1.1659	1.1045	1.0512	0.9756	0.9805	0.9276	0.9786
0.6807	0.0000	0.8610	0.9235	1.0000	1.1863	1.1459	1.0434	1.1174	1.1955	1.1114	0.9490	1.0437	0.9600	0.9574	0.9909
0.7920	0.8059	0.9114	0.8065	1.0327	1.1480	1.0000	1.0452	1.0444	1.1446	1.0150	1.1782	0.0000	0.9672	1.0000	0.9443
0.8565	0.8509	0.8751	0.9607	0.9208	1.0971	1.0451	1.0236	1.0219	0.9357	1.0576	1.1170	1.0107	0.9893	1.0209	0.9347
0.6073	0.7899	0.9404	1.0099	0.0000	1.0995	1.0837	1.0706	1.0222	1.0661	0.9901	1.0516	0.9811	0.9321	0.0000	0.8745
0.8234	0.7572	0.9285	0.9645	1.0650	1.1472	1.1706	0.9110	1.0589	1.1214	1.1310	1.0355	1.0499	0.9333	0.9037	0.9185
0.7404	0.7690	0.8729	0.9314	1.1849	0.0000	1.0485	1.1320	1.0985	1.0191	1.1938	0.9087	0.9286	0.9654	1.0000	1.0209
0.8624	0.9396	0.8783	0.9826	1.1270	1.1658	1.2510	1.2377	1.2147	1.2141	1.1235	0.9944	1.0056	0.9512	0.8368	0.8882
