# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-25_HA_F445-90_0086_11-127
# Object: W3
# Date: 2017-10-25T10:03:12.990 (MJD: 58051.41970108796)
# Project: 90_0086_11
# Exposure: 93.76044 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: -15d26m44.36s 54d24m01.28s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[1,31]	0.817 	2.446E-4 	-	0.817	1.000	1.000	63	0	1	31
R0[2,0]	0.279 	9.353E-4 	g	1.128	1.000	1.000	64	0	2	0
R0[2,1]	0.602 	3.360E-4 	-	1.130	1.000	1.000	65	0	2	1
R0[2,2]	0.668 	3.135E-4 	-	1.046	1.000	1.000	66	0	2	2
R0[2,3]	0.756 	2.582E-4 	-	0.992	1.000	1.000	67	0	2	3
R0[2,4]	0.767 	2.408E-4 	-	0.957	1.000	1.000	68	0	2	4
R0[2,5]	0.826 	2.246E-4 	-	0.888	1.000	1.000	69	0	2	5
R0[2,7]	0.835 	2.400E-4 	-	0.869	1.000	1.000	71	0	2	7
R0[2,8]	0.933 	1.930E-4 	-	0.817	1.000	1.000	72	0	2	8
R0[2,9]	0.903 	2.148E-4 	-	0.831	1.000	1.000	73	0	2	9
R0[2,10]	-0.000 	7.192E-4 	gn	468.228	1.000	1.000	74	0	2	10
R0[2,11]	0.933 	1.762E-4 	-	0.842	1.000	1.000	75	0	2	11
R0[2,12]	1.141 	1.356E-4 	-	0.747	1.000	1.000	76	0	2	12
R0[2,13]	0.997 	1.750E-4 	-	0.843	1.000	1.000	77	0	2	13
R0[2,14]	0.996 	1.758E-4 	-	0.873	1.000	1.000	78	0	2	14
R0[2,15]	1.011 	1.747E-4 	-	0.791	1.000	1.000	79	0	2	15
R0[2,16]	1.015 	1.757E-4 	-	0.805	1.000	1.000	80	0	2	16
R0[2,17]	1.024 	1.856E-4 	-	0.784	1.000	1.000	81	0	2	17
R0[2,18]	1.041 	1.541E-4 	-	0.773	1.000	1.000	82	0	2	18
R0[2,19]	1.069 	1.706E-4 	-	0.760	1.000	1.000	83	0	2	19
R0[2,21]	1.074 	1.759E-4 	-	0.724	1.000	1.000	85	0	2	21
R0[2,22]	1.032 	1.604E-4 	-	0.754	1.000	1.000	86	0	2	22
R0[2,23]	1.137 	1.540E-4 	-	0.728	1.000	1.000	87	0	2	23
R0[2,24]	-0.002 	6.667E-4 	gn	11.757	1.000	1.000	88	0	2	24
R0[2,25]	1.054 	1.765E-4 	-	0.727	1.000	1.000	89	0	2	25
R0[2,26]	1.030 	1.730E-4 	-	0.760	1.000	1.000	90	0	2	26
R0[2,28]	0.927 	1.530E-4 	-	0.812	1.000	1.000	92	0	2	28
