# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 209.17871999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-3 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[2,9]	0.000 	1.317E-2 	gn	0.000	1.000	1.000	73	0	2	9
R0[2,10]	0.000 	1.312E-2 	gn	0.000	1.000	1.000	74	0	2	10
R0[2,11]	0.000 	1.241E-2 	gn	0.000	1.000	1.000	75	0	2	11
R0[2,12]	0.000 	1.138E-2 	gn	0.000	1.000	1.000	76	0	2	12
R0[2,13]	0.000 	1.161E-2 	gn	0.000	1.000	1.000	77	0	2	13
R0[2,14]	0.000 	1.186E-2 	gn	0.000	1.000	1.000	78	0	2	14
R0[2,15]	0.000 	1.176E-2 	gn	0.000	1.000	1.000	79	0	2	15
R0[2,16]	0.000 	1.141E-2 	gn	0.000	1.000	1.000	80	0	2	16
R0[2,17]	0.000 	1.159E-2 	gn	0.000	1.000	1.000	81	0	2	17
R0[2,18]	0.000 	1.152E-2 	gn	0.000	1.000	1.000	82	0	2	18
R0[2,19]	0.000 	1.176E-2 	gn	0.000	1.000	1.000	83	0	2	19
R0[2,21]	-0.000 	9.308E-3 	gn	0.000	1.000	1.000	85	0	2	21
R0[2,22]	0.000 	9.330E-3 	gn	0.000	1.000	1.000	86	0	2	22
R0[2,23]	0.000 	7.009E-3 	gn	-75.944	1.000	1.000	87	0	2	23
R0[2,24]	0.000 	8.119E-3 	gn	0.000	1.000	1.000	88	0	2	24
R0[2,25]	0.000 	5.953E-3 	gn	-31.261	1.000	1.000	89	0	2	25
R0[2,26]	0.000 	8.006E-3 	gn	0.000	1.000	1.000	90	0	2	26
R0[3,0]	0.531 	6.958E-4 	-	1.166	1.000	1.000	96	0	3	0
R0[3,1]	0.617 	5.720E-4 	-	1.089	1.000	1.000	97	0	3	1
R0[3,2]	0.638 	5.727E-4 	-	1.058	1.000	1.000	98	0	3	2
R0[3,3]	0.724 	4.644E-4 	-	1.020	1.000	1.000	99	0	3	3
R0[3,4]	0.002 	8.146E-3 	gn	-0.341	1.000	1.000	100	0	3	4
R0[3,5]	0.820 	3.886E-4 	-	0.940	1.000	1.000	101	0	3	5
R0[3,7]	0.874 	3.776E-4 	-	0.953	1.000	1.000	103	0	3	7
R0[3,8]	0.912 	3.846E-4 	-	0.926	1.000	1.000	104	0	3	8
R0[3,9]	0.943 	4.090E-4 	-	0.919	1.000	1.000	105	0	3	9
R0[3,10]	1.534 	2.239E-4 	-	0.798	1.000	1.000	106	0	3	10
R0[3,11]	0.994 	3.911E-4 	-	0.897	1.000	1.000	107	0	3	11
R0[3,12]	0.990 	3.295E-4 	-	0.870	1.000	1.000	108	0	3	12
R0[3,13]	0.988 	3.823E-4 	-	0.853	1.000	1.000	109	0	3	13
R0[3,14]	0.996 	3.354E-4 	-	0.849	1.000	1.000	110	0	3	14
R0[3,15]	1.032 	3.712E-4 	-	0.827	1.000	1.000	111	0	3	15
R0[3,16]	0.000 	1.255E-2 	gn	0.000	1.000	1.000	112	0	3	16
R0[3,17]	0.001 	1.079E-2 	gn	-5.180	1.000	1.000	113	0	3	17
R0[3,18]	1.083 	1.749E-4 	-	0.803	1.000	1.000	114	0	3	18
R0[3,19]	1.101 	3.159E-4 	-	0.791	1.000	1.000	115	0	3	19
R0[3,21]	1.037 	3.617E-4 	-	0.811	1.000	1.000	117	0	3	21
R0[3,22]	0.002 	8.453E-3 	gn	-4.097	1.000	1.000	118	0	3	22
R0[3,23]	1.095 	3.191E-4 	-	0.784	1.000	1.000	119	0	3	23
R0[3,24]	0.000 	8.192E-3 	gn	0.000	1.000	1.000	120	0	3	24
R0[3,25]	1.066 	2.904E-4 	-	0.776	1.000	1.000	121	0	3	25
