# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2017-10-25_HA_F445-90_0086_13-120
# Object: W3
# Date: 2017-10-25T09:39:05.620 (MJD: 58051.40294912037)
# Project: 90_0086_13
# Exposure: 82.91676 s.
# Equatorial: 02h25m40.200s 62d06m05.22s (J2000.0)
# Horizontal: -08d05m04.29s 55d47m09.26s
# CRUSH version: 2.41-1 (update.2)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
# Flag 'L' - 0x0x200000 - LOS response
# Flag '\' - 0x0x400000 - Roll response
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[1,31]	0.834 	2.927E-4 	-	0.853	1.000	1.000	63	0	1	31
R0[2,0]	0.595 	6.130E-4 	-	0.432	1.000	1.000	64	0	2	0
R0[2,1]	0.646 	5.426E-4 	-	0.521	1.000	1.000	65	0	2	1
R0[2,2]	0.700 	5.132E-4 	-	0.541	1.000	1.000	66	0	2	2
R0[2,3]	0.756 	3.843E-4 	-	0.607	1.000	1.000	67	0	2	3
R0[2,4]	0.787 	4.557E-4 	-	0.638	1.000	1.000	68	0	2	4
R0[2,5]	0.815 	4.546E-4 	-	0.663	1.000	1.000	69	0	2	5
R0[2,7]	0.838 	4.309E-4 	-	0.734	1.000	1.000	71	0	2	7
R0[2,8]	0.900 	3.785E-4 	-	0.732	1.000	1.000	72	0	2	8
R0[2,9]	0.913 	3.421E-4 	-	0.767	1.000	1.000	73	0	2	9
R0[2,10]	0.003 	8.024E-4 	gn	-5.102	1.000	1.000	74	0	2	10
R0[2,11]	0.913 	3.903E-4 	-	0.788	1.000	1.000	75	0	2	11
R0[2,12]	1.121 	2.972E-4 	-	0.696	1.000	1.000	76	0	2	12
R0[2,13]	0.972 	2.496E-4 	-	0.753	1.000	1.000	77	0	2	13
R0[2,14]	0.999 	2.817E-4 	-	0.771	1.000	1.000	78	0	2	14
R0[2,15]	0.958 	3.530E-4 	-	0.790	1.000	1.000	79	0	2	15
R0[2,16]	1.010 	2.810E-4 	-	0.767	1.000	1.000	80	0	2	16
R0[2,17]	0.971 	2.977E-4 	-	0.759	1.000	1.000	81	0	2	17
R0[2,18]	0.986 	2.273E-4 	-	0.758	1.000	1.000	82	0	2	18
R0[2,19]	1.026 	2.468E-4 	-	0.730	1.000	1.000	83	0	2	19
R0[2,21]	1.014 	2.582E-4 	-	0.754	1.000	1.000	85	0	2	21
R0[2,22]	1.040 	2.136E-4 	-	0.749	1.000	1.000	86	0	2	22
R0[2,23]	0.993 	2.957E-4 	-	0.725	1.000	1.000	87	0	2	23
R0[2,24]	-0.000 	1.218E-3 	gn	431.033	1.000	1.000	88	0	2	24
R0[2,25]	0.985 	2.859E-4 	-	0.702	1.000	1.000	89	0	2	25
R0[2,26]	0.963 	3.156E-4 	-	0.712	1.000	1.000	90	0	2	26
R0[2,28]	0.876 	2.130E-4 	-	0.795	1.000	1.000	92	0	2	28
R0[2,29]	0.844 	3.661E-4 	-	0.747	1.000	1.000	93	0	2	29
R0[2,30]	-0.000 	1.859E-3 	gn	24.530	1.000	1.000	94	0	2	30
R0[2,31]	0.664 	4.733E-4 	-	0.921	1.000	1.000	95	0	2	31
R0[3,0]	0.619 	5.518E-4 	-	0.535	1.000	1.000	96	0	3	0
R0[3,1]	0.683 	4.430E-4 	-	0.610	1.000	1.000	97	0	3	1
R0[3,2]	0.715 	4.394E-4 	-	0.634	1.000	1.000	98	0	3	2
R0[3,3]	0.784 	3.430E-4 	-	0.652	1.000	1.000	99	0	3	3
R0[3,4]	0.003 	7.760E-4 	gn	-8.123	1.000	1.000	100	0	3	4
R0[3,5]	0.891 	2.475E-4 	-	0.724	1.000	1.000	101	0	3	5
R0[3,7]	0.937 	2.680E-4 	-	0.762	1.000	1.000	103	0	3	7
R0[3,8]	0.973 	2.846E-4 	-	0.772	1.000	1.000	104	0	3	8
R0[3,9]	0.995 	3.338E-4 	-	0.772	1.000	1.000	105	0	3	9
R0[3,10]	1.629 	1.588E-4 	-	0.651	1.000	1.000	106	0	3	10
R0[3,11]	1.034 	3.097E-4 	-	0.770	1.000	1.000	107	0	3	11
R0[3,12]	1.035 	2.781E-4 	-	0.735	1.000	1.000	108	0	3	12
R0[3,13]	1.011 	2.991E-4 	-	0.749	1.000	1.000	109	0	3	13
