date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20180201	0.95043846	0.93940634	1.09279299	1.03606627	0.35887443	0.94836798	1.14518566	1.15958990	0.95660452	0.50482359	1.16610468	1.22351962	0.90308376	0.98364212	0.61618977	1.26640091	1.30230119	1.43926331	1.29380741	0.55223561	0.99572457	1.46507238	0.82472269	1.10290675	0.62907569
20180801	0.98881053	0.93554709	1.10064359	1.01965483	0.33772366	0.98529868	1.14393989	1.15552697	0.93866675	0.46909408	1.15393012	1.23745592	0.90052272	0.99428717	0.57143430	1.28907596	1.27367843	1.40028707	1.25488924	0.50097852	0.98082063	1.45773360	0.81247637	1.07788426	0.59406399
20181001	0.94739274	0.93833490	1.08867233	1.03399315	0.37266397	0.96127885	1.12902413	1.13500155	0.94587128	0.49947559	1.14957144	1.24424637	0.90662031	1.00000000	0.60456143	1.27115853	1.28986133	1.40776494	1.27453242	0.54033473	0.98062558	1.45135858	0.83039160	1.09428177	0.64001993
20190201	0.85090118	0.93746400	1.09901792	1.06860366	0.45550757	0.88216496	1.11564271	1.14466288	0.96830938	0.59949959	1.03222901	1.23753959	0.88356976	1.00000000	0.71614407	1.16766432	1.28453229	1.39713069	1.28744477	0.64862705	0.89596446	1.43483495	0.82509012	1.09362466	0.77224288
20190401	0.89609036	0.93220533	1.09314020	1.05767040	0.41854919	0.91457383	1.11975077	1.12779544	0.95796384	0.56098722	1.08654675	1.24176195	0.90262708	1.00000000	0.66916206	1.22067306	1.28733866	1.39135603	1.28460399	0.59988269	0.91726471	1.44056494	0.81375499	1.09025002	0.71282131
20191001	0.95936088	0.91909832	1.06768086	1.02573495	0.32791089	0.96570863	1.11224659	1.12566010	0.93787290	0.45729659	1.13725155	1.23981077	0.87856187	0.99970147	0.56991058	1.25755816	1.29081489	1.40203555	1.26448827	0.51150634	0.99389752	1.45183897	0.81812421	1.08523131	0.60407912
20200201	1.00062500	0.91987867	1.04680667	0.95542708	0.25745751	0.99658060	1.11006461	1.12490303	0.89254388	0.35910059	1.17181081	1.23594019	0.89244804	0.94639226	0.47390226	1.30160582	1.25612019	1.38285448	1.20038872	0.42885326	1.00088575	1.43412612	0.80992041	1.04365814	0.50855420
20200801	1.00631412	0.92314711	1.03472090	0.97518085	0.26197826	0.99792966	1.11338166	1.12852550	0.90265765	0.37963013	1.14568958	1.23550383	0.87674201	0.96547855	0.48501034	1.30140670	1.27698858	1.39944059	1.22123277	0.43837113	0.99810043	1.45629152	0.82175495	1.05670667	0.51526312
99999999	0.87212935	0.92400730	1.04315288	1.05421370	0.45156133	0.90138349	1.10791638	1.12483231	0.96116524	0.59158450	1.06553698	1.23520039	0.87766869	1.00000000	0.69240576	1.19145876	1.28248651	1.39909227	1.28263320	0.61957766	0.90431338	1.43565678	0.81635490	1.08327566	0.73741440
