date	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24
20180201	0.88358114	0.92592485	1.09266417	1.03185606	0.43589566	0.89708588	1.11334314	1.12617964	0.95409742	0.55445383	1.09023902	1.20143115	0.88730069	0.99260006	0.68089141	1.21044409	1.27035549	1.40430454	1.27656515	0.61309854	0.93665125	1.46912013	0.82686635	1.09643279	0.73277374
20180801	0.91571697	0.91067663	1.07880183	1.00311097	0.39183197	0.93712881	1.10884085	1.10750723	0.92623077	0.51312509	1.09680364	1.19308375	0.88243999	0.99065548	0.62543592	1.23254076	1.24644526	1.37182509	1.23383939	0.55794252	0.93371609	1.44571481	0.79264887	1.05800129	0.67082666
20181001	0.87736951	0.91812172	1.07444994	1.03319101	0.43469514	0.90872502	1.10239283	1.10003719	0.93451254	0.54423617	1.07045746	1.22201874	0.89194948	1.00016501	0.66791205	1.20666446	1.26492945	1.37205903	1.26198987	0.59906061	0.92481507	1.45307992	0.81974615	1.07894328	0.72132327
20190201	0.79448012	0.93640883	1.12665809	1.08880292	0.54304300	0.85056731	1.12444385	1.14180177	0.98260171	0.67058879	0.97260613	1.24905464	0.89525153	1.03344332	0.80211564	1.12988543	1.29446781	1.39775843	1.30558812	0.73610990	0.85808152	1.47191672	0.83943752	1.10762704	0.88287096
20190401	0.83269369	0.92439845	1.11225347	1.07013428	0.48527792	0.87794067	1.11077120	1.12236242	0.96608539	0.61705478	1.01612788	1.23510967	0.90316802	1.02155658	0.74126137	1.16008517	1.27846782	1.37194815	1.29121895	0.66844788	0.86807983	1.45263990	0.81622192	1.09687807	0.80857067
20191001	0.90366665	0.89739371	1.08061325	1.03294751	0.39906434	0.90629523	1.10063914	1.12232016	0.95006138	0.51902809	1.05142169	1.20077263	0.87717781	1.01082457	0.63624794	1.19346709	1.25736678	1.38372394	1.28192537	0.57846627	0.93033767	1.44608901	0.81353843	1.09241046	0.69161078
20200201	1.00285958	0.90515460	1.02271054	0.97982281	0.26992114	0.98059002	1.07878622	1.08487451	0.89255701	0.37242122	1.14762228	1.21103973	0.87344481	0.96499887	0.46736638	1.28549619	1.23702725	1.34241626	1.20286260	0.41647606	0.97923840	1.43919350	0.79711105	1.04447767	0.49918639
20210401	0.97414885	0.90450521	1.01480652	0.97994543	0.29746270	0.95779022	1.08208144	1.09692888	0.89685648	0.41366505	1.09200153	1.19443517	0.87228166	0.96976902	0.50861966	1.25691458	1.24285413	1.35853978	1.20844046	0.45690155	0.96560633	1.44438791	0.80276973	1.04218973	0.54823121
99999999	0.63569070	0.92916315	1.07910241	1.09637869	0.68426743	0.70973178	1.13529045	1.15514133	0.99368145	0.82722781	0.83926656	1.23186801	0.91012623	1.05762244	0.95547339	0.94734388	1.30140809	1.42375624	1.33244459	0.86166128	0.71293412	1.50227201	0.83219797	1.12350418	1.04042492
