Date(YearMonth):,,1402,,,,,1411,,,,,1502,,,,,1509,,,,,1602,,,,,1606,,,,
Parameters,,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order,Blue 2nd Order D105,Blue 2nd Order D130
g0,,0.117160437902928000000000000000,0.117127492287935000000000000000,0.082658648607510500000000000000,0.082661525667531600000000000000,,0.117161465674230000000000000000,0.117160652749858000000000000000,0.082656365357645900000000000000,0.082659763648194600000000000000,,0.117162664766848000000000000000,0.117161583391335000000000000000,0.082655051280722200000000000000,0.082660761667868000000000000000,,0.117157989743962000000000000000,0.117148823907595000000000000000,0.082650682626465000000000000000,0.082657052798639000000000000000,,0.117159858263028000000000000000,0.117148989794821000000000000000,0.082656220060842000000000000000,0.082659046254404100000000000000,0.082652091572472600000000000000,0.117160383199013000000000000000,0.117147164810492000000000000000,0.082655409058071000000000000000,0.082658288203832000000000000000,0.082652091572472600000000000000
NP,,14.272374455588400000000000000000,14.725755873657700000000000000000,13.854585110663200000000000000000,14.297170813157800000000000000000,,14.125582749132100000000000000000,14.060879529253000000000000000000,14.190692147276600000000000000000,14.286296461663200000000000000000,,14.144856697477400000000000000000,14.011061624719700000000000000000,14.129922519758500000000000000000,14.382072786222400000000000000000,,14.163909550214700000000000000000,14.209600000000000000000000000000,14.276700000000000000000000000000,14.076500000000000000000000000000,,14.109000000000000000000000000000,14.117196399533800000000000000000,13.817551806867200000000000000000,14.773382718912700000000000000000,14.329545093623900000000000000000,14.269200000000000000000000000000,14.317000000000000000000000000000,13.655800000000000000000000000000,14.262700000000000000000000000000,14.329545093623900000000000000000
a,,421.441200886519000000000000000000,439.433867585053000000000000000000,730.359147035835000000000000000000,786.305018542416000000000000000000,,425.488379343588000000000000000000,430.047074314616000000000000000000,740.724120434752000000000000000000,772.708465495822000000000000000000,,421.498356655959000000000000000000,430.169140480430000000000000000000,765.302356709625000000000000000000,765.039597882180000000000000000000,,439.242173832728000000000000000000,426.724800000000000000000000000000,759.338800000000000000000000000000,766.461400000000000000000000000000,,427.345700000000000000000000000000,421.561625406997000000000000000000,789.407249705050000000000000000000,778.932638869382000000000000000000,899.999107705675000000000000000000,427.222000000000000000000000000000,424.900800000000000000000000000000,797.752700000000000000000000000000,773.630900000000000000000000000000,899.999107705675000000000000000000
ISF,,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000
gamma,,0.016720016164585500000000000000,0.016720001282136100000000000000,0.008900800097790030000000000000,0.008900816331621530000000000000,,0.016720029878672400000000000000,0.016720078539441300000000000000,0.008900800028366610000000000000,0.008900800380137320000000000000,,0.016720076252024000000000000000,0.016720033059544200000000000000,0.008900800008126750000000000000,0.008900800244101870000000000000,,0.016720000675824300000000000000,0.016720000000040000000000000000,0.008900800003245000000000000000,0.008900814843630000000000000000,,0.016720000000036000000000000000,0.016720001849145200000000000000,0.008900800002370090000000000000,0.008900800130620820000000000000,0.008900800283424340000000000000,0.016720000000036000000000000000,0.016720001849145200000000000000,0.008900800002370090000000000000,0.008900800130620820000000000000,0.008900800283424340000000000000
PS,,0.000586884101140099000000000000,0.000586422934882468000000000000,0.000553214753406487000000000000,0.000556726507274022000000000000,,0.000586952459289465000000000000,0.000585244414866852000000000000,0.000551752608334918000000000000,0.000554952740632546000000000000,,0.000586563688263862000000000000,0.000585879988115577000000000000,0.000549424117924582000000000000,0.000554613022191628000000000000,,0.000586940176678867000000000000,0.000586261806181137000000000000,0.000551868924459009000000000000,0.000554112323711717000000000000,,0.000587042936599737000000000000,0.000586214019418523000000000000,0.000553655486927956000000000000,0.000556372465192360000000000000,0.000557347677019116000000000000,0.000586460000000000000000000000,0.000586930000000000000000000000,0.000551300000000000000000000000,0.000555310000000000000000000000,0.000557347677019116000000000000
QOFF,,6.141075305217080000000000000000,6.462989743151930000000000000000,6.818688088730370000000000000000,6.482487630709610000000000000000,,5.881618085239910000000000000000,6.259947917998770000000000000000,6.761448120457840000000000000000,6.488650799735990000000000000000,,5.986388659568930000000000000000,6.089276870760670000000000000000,6.710947360568890000000000000000,6.496535521222470000000000000000,,6.023015974020070000000000000000,6.315125099570910000000000000000,6.746235633834670000000000000000,6.571415592510290000000000000000,,6.053818821029810000000000000000,6.319757389893200000000000000000,6.785815377895620000000000000000,6.630431917936050000000000000000,6.527205709867840000000000000000,5.807000000000000000000000000000,6.225900000000000000000000000000,6.718400000000000000000000000000,6.618500000000000000000000000000,6.527205709867840000000000000000
QS,,0.000001698946660059180000000000,0.000001641451187611130000000000,0.000010605938375996500000000000,0.000007774837775290170000000000,,0.000001533030870404230000000000,0.000001901542530406410000000000,0.000010705185478769200000000000,0.000008074406600089110000000000,,0.000001564294910391810000000000,0.000001789552018724820000000000,0.000010948112190173100000000000,0.000008272922817659450000000000,,0.000001598389095597100000000000,0.000001708560155755590000000000,0.000010708909279149500000000000,0.000008358614851486110000000000,,0.000001592552410907040000000000,0.000001723607089950770000000000,0.000010657160535487700000000000,0.000008255240960294840000000000,0.000008388565752301370000000000,0.000001563800000000000000000000,0.000001606200000000000000000000,0.000010992000000000000000000000,0.000008219100000000000000000000,0.000008388565752301370000000000
ISOFF,1,953581.019474151000000000000000000000,954171.810969140000000000000000000000,1075031.299592820000000000000000000000,1074856.370661930000000000000000000000,,954327.565573989000000000000000000000,954398.578217619000000000000000000000,1075442.365067400000000000000000000000,1075322.696137060000000000000000000000,,954135.562496184000000000000000000000,954206.579168596000000000000000000000,1075022.649665180000000000000000000000,1074906.398899910000000000000000000000,,953994.988326532000000000000000000000,954319.487283765000000000000000000000,1075636.603232740000000000000000000000,1075522.946556130000000000000000000000,,954344.458113406000000000000000000000,954716.048726402000000000000000000000,1075656.144457600000000000000000000000,1075467.617001340000000000000000000000,1075563.826289630000000000000000000000,954439.447791036000000000000000000000,954839.308033907000000000000000000000,1075754.273043450000000000000000000000,1075684.722714940000000000000000000000,1075563.826289630000000000000000000000
,2,953724.977086416000000000000000000000,954290.067779531000000000000000000000,1074883.127622870000000000000000000000,1074807.629630340000000000000000000000,,954481.846660786000000000000000000000,954551.623567403000000000000000000000,1075318.577495220000000000000000000000,1075283.481815100000000000000000000000,,954302.554832144000000000000000000000,954371.476691181000000000000000000000,1074985.651488730000000000000000000000,1074920.525437890000000000000000000000,,954151.942162918000000000000000000000,954473.807278737000000000000000000000,1075446.480563260000000000000000000000,1075448.559849000000000000000000000000,,954492.013193711000000000000000000000,954867.133510148000000000000000000000,1075423.292295240000000000000000000000,1075353.146592610000000000000000000000,1075431.384991130000000000000000000000,954588.454018730000000000000000000000,954987.784483369000000000000000000000,1075549.769828150000000000000000000000,1075586.163899120000000000000000000000,1075431.384991130000000000000000000000
,3,953893.887107300000000000000000000000,954445.476657891000000000000000000000,1074886.765694460000000000000000000000,1074827.906364470000000000000000000000,,954646.945305827000000000000000000000,954709.362111870000000000000000000000,1075337.204155610000000000000000000000,1075305.395085820000000000000000000000,,954469.352899085000000000000000000000,954527.461640736000000000000000000000,1075002.043996470000000000000000000000,1074935.528149050000000000000000000000,,954313.011687358000000000000000000000,954625.344141915000000000000000000000,1075453.956935830000000000000000000000,1075474.273159620000000000000000000000,,954648.176067928000000000000000000000,955031.691647779000000000000000000000,1075421.560279100000000000000000000000,1075383.157487970000000000000000000000,1075675.199274270000000000000000000000,954753.932840972000000000000000000000,955150.009118189000000000000000000000,1075553.279877010000000000000000000000,1075612.575153530000000000000000000000,1075675.199274270000000000000000000000
,4,954060.226467597000000000000000000000,954585.032609392000000000000000000000,1074943.970289120000000000000000000000,1074843.517720880000000000000000000000,,954811.767524594000000000000000000000,954883.397551370000000000000000000000,1075359.980758410000000000000000000000,1075324.135769560000000000000000000000,,954631.742010106000000000000000000000,954701.618762969000000000000000000000,1074987.565062560000000000000000000000,1074903.855521080000000000000000000000,,954479.358783541000000000000000000000,954797.288613526000000000000000000000,1075477.977383060000000000000000000000,1075491.280187100000000000000000000000,,954803.912038978000000000000000000000,955210.997033745000000000000000000000,1075445.362217570000000000000000000000,1075440.340895650000000000000000000000,1075695.419624930000000000000000000000,954914.796672896000000000000000000000,955316.623013296000000000000000000000,1075576.313006900000000000000000000000,1075634.063351660000000000000000000000,1075695.419624930000000000000000000000
,5,954247.941646641000000000000000000000,954749.142647508000000000000000000000,1074673.567900390000000000000000000000,1074531.552548510000000000000000000000,,954991.691756070000000000000000000000,955060.195728817000000000000000000000,1075061.473860800000000000000000000000,1074978.906729490000000000000000000000,,954820.788488361000000000000000000000,954883.495494226000000000000000000000,1074560.897885560000000000000000000000,1074426.678115650000000000000000000000,,954662.440263034000000000000000000000,954963.605543964000000000000000000000,1075174.263886630000000000000000000000,1075146.409622070000000000000000000000,,954984.774300044000000000000000000000,955386.040492086000000000000000000000,1075214.972489690000000000000000000000,1075161.055792490000000000000000000000,1075310.252040230000000000000000000000,955108.259433879000000000000000000000,955500.496913731000000000000000000000,1075303.049265560000000000000000000000,1075333.342047970000000000000000000000,1075310.252040230000000000000000000000
,6,952924.031851453000000000000000000000,953577.662484821000000000000000000000,1074684.963025750000000000000000000000,1074577.495905180000000000000000000000,,953676.252714424000000000000000000000,953762.508390242000000000000000000000,1075116.319992690000000000000000000000,1075043.283220840000000000000000000000,,953476.245650483000000000000000000000,953571.400689598000000000000000000000,1074747.898099110000000000000000000000,1074648.217522680000000000000000000000,,953349.080031674000000000000000000000,953684.651184786000000000000000000000,1075286.464198750000000000000000000000,1075213.059852630000000000000000000000,,953730.522062589000000000000000000000,954060.209563406000000000000000000000,1075316.492511010000000000000000000000,1075163.685002870000000000000000000000,1075279.679069060000000000000000000000,953806.488688495000000000000000000000,954212.891504313000000000000000000000,1075406.549124220000000000000000000000,1075373.805240020000000000000000000000,1075279.679069060000000000000000000000
,7,952979.382323871000000000000000000000,953635.997083392000000000000000000000,1074572.745436210000000000000000000000,1074537.411922410000000000000000000000,,953731.531393501000000000000000000000,953813.594399191000000000000000000000,1075012.446352760000000000000000000000,1075006.270440850000000000000000000000,,953537.929742730000000000000000000000,953629.944303736000000000000000000000,1074698.059106760000000000000000000000,1074646.788082370000000000000000000000,,953408.170757749000000000000000000000,953740.881484273000000000000000000000,1075139.586614850000000000000000000000,1075153.631671630000000000000000000000,,953806.860754695000000000000000000000,954130.472818240000000000000000000000,1075119.625159360000000000000000000000,1075087.761375130000000000000000000000,1075237.183107840000000000000000000000,953863.217782161000000000000000000000,954259.745269771000000000000000000000,1075250.079496860000000000000000000000,1075297.510247780000000000000000000000,1075237.183107840000000000000000000000
,8,953079.745515915000000000000000000000,953714.365968062000000000000000000000,1074589.110722930000000000000000000000,1074560.721931700000000000000000000000,,953836.263978432000000000000000000000,953916.438567222000000000000000000000,1075040.921125020000000000000000000000,1075034.103202410000000000000000000000,,953643.337379800000000000000000000000,953731.384751448000000000000000000000,1074734.772615270000000000000000000000,1074669.502340560000000000000000000000,,953512.336416396000000000000000000000,953836.779047134000000000000000000000,1075159.143381970000000000000000000000,1075182.402613200000000000000000000000,,953887.889438781000000000000000000000,954242.835687883000000000000000000000,1075128.843779040000000000000000000000,1075124.465999990000000000000000000000,1075286.625137980000000000000000000000,953964.571603231000000000000000000000,954361.707982660000000000000000000000,1075258.270724040000000000000000000000,1075323.017871090000000000000000000000,1075286.625137980000000000000000000000
,9,953173.971807646000000000000000000000,953800.167197305000000000000000000000,1074600.145744510000000000000000000000,1074559.570295160000000000000000000000,,953925.351080525000000000000000000000,954013.369481955000000000000000000000,1075039.751594460000000000000000000000,1075031.292404480000000000000000000000,,953733.943661753000000000000000000000,953825.444334428000000000000000000000,1074700.847695460000000000000000000000,1074627.178967380000000000000000000000,,953598.513587812000000000000000000000,953930.553169707000000000000000000000,1075156.987785720000000000000000000000,1075182.288050360000000000000000000000,,953965.671733051000000000000000000000,954311.809510574000000000000000000000,1075129.103861750000000000000000000000,1075153.249570830000000000000000000000,1075575.766390990000000000000000000000,954050.430278678000000000000000000000,954450.100465601000000000000000000000,1075259.124063270000000000000000000000,1075327.850470480000000000000000000000,1075575.766390990000000000000000000000
,10,953327.780847606000000000000000000000,953913.942854441000000000000000000000,1074403.257285650000000000000000000000,1074296.417892350000000000000000000000,,954131.055876077000000000000000000000,954190.609106551000000000000000000000,1074814.666239030000000000000000000000,1074737.353423910000000000000000000000,,953935.327595889000000000000000000000,954011.759026760000000000000000000000,1074365.575750390000000000000000000000,1074266.102183030000000000000000000000,,953803.247925585000000000000000000000,954094.335158066000000000000000000000,1074926.442352330000000000000000000000,1074881.608614960000000000000000000000,,954164.236282252000000000000000000000,954487.567338530000000000000000000000,1074962.548082700000000000000000000000,1074918.065940810000000000000000000000,1075182.540767200000000000000000000000,954237.133327177000000000000000000000,954611.660776260000000000000000000000,1075053.158114750000000000000000000000,1075069.039157730000000000000000000000,1075182.540767200000000000000000000000
