Date(YearMonth):,,1402,,,,,1411,,,,,1502,,,,,1509,,,,,1602,,,,,1606,,,,,1610,,,,,1702,,,,,1706,,,,
Parameters,,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130,Red D105,Red D130,Blue 1st Order D105,Blue 2nd Order D105,Blue 2nd Order D130
,3,953893.8871,954445.4767,1074886.766,1074827.906,1074827.906,954646.9453,954709.3621,1075337.204,1075305.395,1075305.395,954469.3529,954527.4616,1075002.044,1074935.528,1074935.528,954313.0117,954625.3441,1075453.957,1075474.273,1075474.273,954648.1761,955031.6916,1075421.56,1075383.157,1075383.157,954753.9328,955150.0091,1075553.28,1075612.575,1075612.575,1151012.692,1151503.428,1075304.653,1075612.575,1075612.575,1150821.413,1151095.072,1075425.78,1075501.733,1075501.733,1150721.219,1151047.537,1075492.948,1075567.123,1075567.123
,4,954060.2265,954585.0326,1074943.97,1074843.518,1074843.518,954811.7675,954883.3976,1075359.981,1075324.136,1075324.136,954631.742,954701.6188,1074987.565,1074903.856,1074903.856,954479.3588,954797.2886,1075477.977,1075491.28,1075491.28,954803.912,955210.997,1075445.362,1075440.341,1075440.341,954914.7967,955316.623,1075576.313,1075634.063,1075634.063,1151174.822,1151669.991,1075311.889,1075634.063,1075634.063,1150983.904,1151268.893,1075421.71,1075518.126,1075518.126,1150880.233,1151211.556,1075521.06,1075592.834,1075592.834
,5,954247.9416,954749.1426,1074673.568,1074531.553,1074531.553,954991.6918,955060.1957,1075061.474,1074978.907,1074978.907,954820.7885,954883.4955,1074560.898,1074426.678,1074426.678,954662.4403,954963.6055,1075174.264,1075146.41,1075146.41,954984.7743,955386.0405,1075214.972,1075161.056,1075161.056,955108.2594,955500.4969,1075303.049,1075333.342,1075333.342,1151360.782,1151819.718,1075005.886,1075333.342,1075333.342,1151177.773,1151436.465,1075081.64,1075125.338,1075125.338,1151075.321,1151397.143,1075326.118,1075382.273,1075382.273
,6,952924.0319,953577.6625,1074684.963,1074577.496,1074577.496,953676.2527,953762.5084,1075116.32,1075043.283,1075043.283,953476.2457,953571.4007,1074747.898,1074648.218,1074648.218,953349.08,953684.6512,1075286.464,1075213.06,1075213.06,953730.5221,954060.2096,1075316.493,1075163.685,1075163.685,953806.4887,954212.8915,1075406.549,1075373.805,1075373.805,1150009.462,1150546.146,1075108.535,1075373.805,1075373.805,1149858.668,1150165.871,1075213.602,1075230.194,1075230.194,1149761.647,1150109.122,1075400.062,1075370.166,1075370.166
,7,952979.3823,953635.9971,1074572.745,1074537.412,1074537.412,953731.5314,953813.5944,1075012.446,1075006.27,1075006.27,953537.9297,953629.9443,1074698.059,1074646.788,1074646.788,953408.1708,953740.8815,1075139.587,1075153.632,1075153.632,953806.8608,954130.4728,1075119.625,1075087.761,1075087.761,953863.2178,954259.7453,1075250.079,1075297.51,1075297.51,1150070.712,1150603.29,1075010.291,1075297.51,1075297.51,1149915.741,1150211.474,1075093.314,1075182.94,1075182.94,1149818.684,1150157.347,1075189.315,1075248.752,1075248.752
,8,953079.7455,953714.366,1074589.111,1074560.722,1074560.722,953836.264,953916.4386,1075040.921,1075034.103,1075034.103,953643.3374,953731.3848,1074734.773,1074669.502,1074669.502,953512.3364,953836.779,1075159.143,1075182.403,1075182.403,953887.8894,954242.8357,1075128.844,1075124.466,1075124.466,953964.5716,954361.708,1075258.271,1075323.018,1075323.018,1150178.815,1150696.228,1075040.092,1075323.018,1075323.018,1150016.142,1150311.428,1075126.01,1075215.308,1075215.308,1149922.031,1150259.559,1075208.007,1075277.169,1075277.169
,9,953173.9718,953800.1672,1074600.146,1074559.57,1074559.57,953925.3511,954013.3695,1075039.752,1075031.292,1075031.292,953733.9437,953825.4443,1074700.848,1074627.179,1074627.179,953598.5136,953930.5532,1075156.988,1075182.288,1075182.288,953965.6717,954311.8095,1075129.104,1075153.25,1075153.25,954050.4303,954450.1005,1075259.124,1075327.85,1075327.85,1150265.372,1150789.722,1075026.783,1075327.85,1075327.85,1150108.259,1150405.987,1075101.888,1075209.12,1075209.12,1150007.364,1150346.996,1075199.04,1075286.139,1075286.139
,10,953327.7808,953913.9429,1074403.257,1074296.418,1074296.418,954131.0559,954190.6091,1074814.666,1074737.353,1074737.353,953935.3276,954011.759,1074365.576,1074266.102,1074266.102,953803.2479,954094.3352,1074926.442,1074881.609,1074881.609,954164.2363,954487.5673,1074962.548,1074918.066,1074918.066,954237.1333,954611.6608,1075053.158,1075069.039,1075069.039,1150474.057,1150956.711,1074777.951,1075069.039,1075069.039,1150307.215,1150575.28,1074833.469,1074881.311,1074881.311,1150193.38,1150507.53,1075062.292,1075104.105,1075104.105
,11,952534.68,953245.9459,1074561.321,1074469.651,1074469.651,953278.1331,953358.8123,1075001.899,1074936.316,1074936.316,953084.1534,953169.7109,1074640.34,1074543.291,1074543.291,952953.3395,953296.4713,1075164.334,1075090.342,1075090.342,953397.8262,953668.954,1075176.015,1075068.671,1075068.671,953423.9331,953833.6651,1075269.15,1075255.678,1075255.678,1149603.017,1150147.247,1074978.418,1075255.678,1075255.678,1149466.875,1149781.759,1075072.323,1075096.619,1075096.619,1149376.825,1149726.611,1075262.333,1075241.685,1075241.685
,12,952523.5785,953212.7164,1074447.428,1074418.768,1074418.768,953262.2846,953356.1575,1074907.673,1074892.035,1074892.035,953064.1071,953167.8385,1074588.053,1074534.501,1074534.501,952949.224,953284.778,1075036.399,1075022.606,1075022.606,953395.4034,953682.9805,1075005.012,1074927.377,1074927.377,953416.2908,953818.2,1075130.444,1075170.929,1075170.929,1149595.471,1150146.76,1074891.644,1075170.929,1075170.929,1149463.725,1149771.027,1074971.704,1075044.51,1075044.51,1149369.045,1149710.757,1075079.122,1075116.8,1075116.8
