Date(YearMonth):,,1402,,,,1411,,,,1502,,,,1509,,,,1602,,,,1606,,,,1610,,,,1702,,,,1706,,,,1802,,,,1807,,,,1810,,,,1902,,,,1904,,,,1910,,,,2002,,,,2008,,,,2103,,,,2105,,,
Parameters,,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order,Red D105,Red D130,Blue 1st Order,Blue 2nd Order
g0,,0.117160438,0.117127492,0.082658649,0.082661526,0.117161466,0.117160653,0.082656365,0.082659764,0.117162665,0.117161583,0.082655051,0.082660762,0.11715799,0.117148824,0.082650683,0.082657053,0.117159858,0.11714899,0.08265622,0.082659046,0.117160383,0.117147165,0.082655409,0.082658288,0.117140585,0.117147165,0.082661893,0.082643764,0.117162102,0.117152334,0.082657528,0.082658664,0.117158542,0.117147621,0.082655742,0.082657886,0.117159611,0.117146592,0.082656638,0.082659976,0.117156225,0.11714742,0.082653788,0.082658466,0.117156639,0.117148692,0.082654642,0.082658703,0.117157064,0.117148027,0.082655379,0.082659093,0.117160233,0.117149283,0.082652118,0.082660222,0.117155401,0.117148405,0.082656415,0.082660831,0.117155872,0.117149152,0.082656143,0.082660669,0.117155379,0.117144368,0.082656702,0.082658132,0.117158708,0.117147296,0.082657169,0.082660993,1.17162e-01,1.17149e-01,8.26553e-02,8.26636e-02
NP,,14.27237446,14.72575587,13.85458511,14.29717081,14.12558275,14.06087953,14.19069215,14.28629646,14.1448567,14.01106162,14.12992252,14.38207279,14.16390955,14.2096,14.2767,14.0765,14.109,14.1171964,13.81755181,14.77338272,14.2692,14.317,13.6558,14.2627,13.97882741,13.96301583,12.88788972,13.10838404,14.22635147,14.30074435,13.58625614,13.80909499,14.23632844,14.29199433,13.73850273,13.87463767,14.321369,14.22883383,13.46350894,14.10294671,14.32434507,14.41231962,13.63432927,14.1749157,14.29322853,14.37367602,13.80495342,14.33447079,14.3197815,14.38210218,13.72188917,14.19838289,14.42771354,14.46357471,12.81692673,14.13414832,14.33055303,14.37171999,13.60018232,14.00323517,14.2983228,14.38387888,13.59708573,14.04656317,14.28856019,14.29543374,13.48800253,14.20396227,14.29571379,14.27733611,13.86144678,14.44704984,1.42815e+01,1.42984e+01,1.40010e+01,1.44868e+01
a,,421.4412009,439.4338676,730.359147,786.3050185,425.4883793,430.0470743,740.7241204,772.7084655,421.4983567,430.1691405,765.3023567,765.0395979,439.2421738,426.7248,759.3388,766.4614,427.3457,421.5616254,789.4072497,778.9326389,427.222,424.9008,797.7527,773.6309,420.6286072,430.9610182,899.9999919,700,423.7980644,426.7046611,775.9669276,779.3446969,425.3646731,424.7935953,796.5387121,788.6932676,421.63955,428.9769849,793.6388717,750.8855472,423.9484392,421.7643245,849.7988876,768.7008914,425.3338611,424.5720827,796.1169851,764.13452,422.6168457,421.7503189,816.9352228,757.7434231,420.1868819,420.2011873,824.3806472,770.7876825,423.5396599,425.9895003,788.9840593,756.2140088,424.3943618,422.3288473,791.9467518,752.1737328,426.5910971,426.9190478,799.9220581,765.6969823,424.5871686,426.2978228,779.1902605,756.7553981,4.24797e+02,4.29231e+02,8.75423e+02,8.20427e+02
ISF,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gamma,,0.016720016,0.016720001,0.0089008,0.008900816,0.01672003,0.016720079,0.0089008,0.0089008,0.016720076,0.016720033,0.0089008,0.0089008,0.016720001,0.01672,0.0089008,0.008900815,0.01672,0.016720002,0.0089008,0.0089008,0.01672,0.016720002,0.0089008,0.0089008,0.016807648,0.01672,0.0089008,0.0089008,0.01672,0.016720051,0.0089008,0.008900801,0.016720001,0.016720008,0.0089008,0.008900801,0.01672,0.016720003,0.0089008,0.0089008,0.016720001,0.016720005,0.008900801,0.008900801,0.016720005,0.01672001,0.008900801,0.0089008,0.01672,0.016720314,0.0089008,0.0089008,0.016720026,0.016720003,0.0089008,0.008900803,0.01672,0.01672,0.0089008,0.008900804,0.01672,0.016720004,0.0089008,0.0089008,0.01672,0.01672,0.0089008,0.0089008,0.01672,0.01672,0.0089008,0.0089008,1.67200e-02,1.67200e-02,8.90080e-03,8.90080e-03
PS,,0.000586884,0.000586423,0.000553215,0.000556727,0.000586952,0.000585244,0.000551753,0.000554953,0.000586564,0.00058588,0.000549424,0.000554613,0.00058694,0.000586262,0.000551869,0.000554112,0.000587043,0.000586214,0.000553655,0.000556372,0.00058646,0.00058693,0.0005513,0.00055531,0.00058693,0.000584562,0.000558919,0.000559361,0.000586642,0.000585836,0.00055139,0.000556513,0.000587103,0.000587043,0.000552682,0.000555171,0.000587827,0.000586693,0.000548368,0.000552839,0.000587442,0.000587472,0.000548714,0.000558056,0.000587222,0.000586081,0.000551673,0.000558383,0.000587551,0.000586676,0.000551677,0.000557996,0.000587065,0.000587225,0.00054413,0.000557024,0.000587017,0.000586802,0.000549333,0.000558514,0.000587251,0.000586606,0.000551348,0.000557073,0.000587762,0.000586763,0.000548776,0.000558984,0.000587255,0.000586978,0.000553217,0.000558282,5.85075e-04,5.87285e-04,5.50245e-04,5.56428e-04
QOFF,,6.141075305,6.462989743,6.818688089,6.482487631,5.881618085,6.259947918,6.76144812,6.4886508,5.98638866,6.089276871,6.710947361,6.496535521,6.023015974,6.3151251,6.746235634,6.571415593,6.053818821,6.31975739,6.785815378,6.630431918,5.807,6.2259,6.7184,6.6185,5.359720213,5.000000047,6.604425037,6.469573079,5.723234147,6.242703215,6.748001815,6.542438691,5.941430919,6.005722569,6.783541043,6.648047066,5.985657286,6.097634057,6.916344984,6.598050006,5.927567612,6.269490601,6.775551463,6.480782697,6.236073606,6.201132234,6.751251378,6.469935553,6.16376676,6.564165731,6.774276919,6.488151169,6.159833924,6.401686705,6.864172211,6.450851212,6.08923982,6.184799788,6.723939522,6.423265176,6.431328155,6.412793944,6.765546829,6.475785075,5.747153384,6.096206785,6.942111603,6.456275945,6.018308378,6.253416994,6.901845307,6.524857309,5.97635e+00,5.64539e+00,6.59861e+00,6.52288e+00
QS,,1.70E-06,1.64E-06,1.06E-05,7.77E-06,1.53E-06,1.90E-06,1.07E-05,8.07E-06,1.56E-06,1.79E-06,1.09E-05,8.27E-06,1.60E-06,1.71E-06,1.07E-05,8.36E-06,1.59E-06,1.72E-06,1.07E-05,8.26E-06,1.56E-06,1.61E-06,0.000010992,8.22E-06,1.37E-06,1.41E-06,1.13E-05,7.42E-06,1.55E-06,1.71E-06,1.11E-05,7.98E-06,1.53E-06,1.53E-06,1.12E-05,8.31E-06,1.46E-06,1.56E-06,1.12E-05,8.24E-06,1.52E-06,1.62E-06,1.15E-05,7.48E-06,1.57E-06,1.77E-06,1.11E-05,7.47E-06,1.54E-06,1.76E-06,1.11E-05,7.44E-06,1.62E-06,1.72E-06,1.15E-05,7.51E-06,1.59E-06,1.66E-06,1.13E-05,7.43E-06,1.64E-06,1.75E-06,1.09E-05,7.62E-06,1.40E-06,1.55E-06,1.14E-05,7.35E-06,1.4623E-06,1.6322E-06,1.09496E-05,7.5353E-06,1.74208e-06,1.33834e-06,1.05074e-05,7.81550e-06
ISOFF,1,953581.0195,954171.811,1075031.3,1074856.371,954327.5656,954398.5782,1075442.365,1075322.696,954135.5625,954206.5792,1075022.65,1074906.399,953994.9883,954319.4873,1075636.603,1075522.947,954344.4581,954716.0487,1075656.144,1075467.617,954439.4478,954839.308,1075754.273,1075684.723,1150677.005,1151184.368,1075448.573,1075684.723,1150504.309,1150791.716,1075548.661,1075533.409,1150399.7,1150739.223,1075733.665,1075695.395,1150548.295,1150979.943,1075547.216,1075473.643,1150363.059,1150662.077,1075427.356,1075395.451,1150563.36,1150841.158,1075221.956,1075170.935,1150310.126,1150616.134,1075178.675,1075154.047,1150939.672,1151280.5,1075561.948,1075387.096,1150762.77,1151019.549,1075397.318,1075331.499,1151018.855,1151274.017,1075508.155,1075435.763,1150786.535,1151136.27,1075568.923,1075530.788,1150709.976,1151054.591,1075435.575,1075345.924,1150583.647,1150914.074,1075088.689,1074835.314
,2,953724.9771,954290.0678,1074883.128,1074807.63,954481.8467,954551.6236,1075318.577,1075283.482,954302.5548,954371.4767,1074985.651,1074920.525,954151.9422,954473.8073,1075446.481,1075448.56,954492.0132,954867.1335,1075423.292,1075353.147,954588.454,954987.7845,1075549.77,1075586.164,1150842.343,1151336.985,1075298.98,1075586.164,1150658.642,1150936.502,1075409.452,1075478.668,1150553.504,1150881.588,1075492.441,1075545.316,1150699.475,1151122.298,1075441.022,1075434.211,1150511.213,1150805.965,1075316.342,1075334.043,1150711.05,1150980.963,1075045.064,1075061.342,1150457.455,1150757.172,1075014.331,1075049.03,1151084.73,1151415.636,1075433.879,1075340.924,1150909.188,1151157.169,1075332.689,1075322.472,1151165.486,1151413.525,1075439.458,1075423.849,1150937.578,1151277.312,1075379.166,1075414.072,1150860.54,1151197.871,1075184.956,1075121.181,1150728.753,1151055.201,1074957.114,1074790.083
,3,953893.8871,954445.4767,1074886.766,1074827.906,954646.9453,954709.3621,1075337.204,1075305.395,954469.3529,954527.4616,1075002.044,1074935.528,954313.0117,954625.3441,1075453.957,1075474.273,954648.1761,955031.6916,1075421.56,1075383.157,954753.9328,955150.0091,1075553.28,1075612.575,1151012.692,1151503.428,1075304.653,1075612.575,1150821.413,1151095.072,1075425.78,1075501.733,1150721.219,1151047.537,1075492.948,1075567.123,1150870.923,1151285.335,1075453.205,1075453.139,1150681.046,1150971.884,1075327.96,1075355.545,1150881.201,1151145.817,1075053.261,1075084.812,1150625.438,1150922.471,1075016.565,1075073.859,1151261.394,1151587.728,1075444.976,1075361.5,1151078.502,1151319.419,1075351.986,1075340.096,1151335.905,1151580.362,1075456.514,1075438.463,1151102.407,1151432.555,1075383.704,1075443.061,1151017.407,1151344.555,1075170.605,1075139.303,1150903.766,1151221.401,1074951.553,1074796.463
,4,954060.2265,954585.0326,1074943.97,1074843.518,954811.7675,954883.3976,1075359.981,1075324.136,954631.742,954701.6188,1074987.565,1074903.856,954479.3588,954797.2886,1075477.977,1075491.28,954803.912,955210.997,1075445.362,1075440.341,954914.7967,955316.623,1075576.313,1075634.063,1151174.822,1151669.991,1075311.889,1075634.063,1150983.904,1151268.893,1075421.71,1075518.126,1150880.233,1151211.556,1075521.06,1075592.834,1151030.105,1151449.341,1075456.679,1075460.462,1150837.553,1151137.917,1075335.6,1075360.681,1151036.386,1151309.281,1075077.95,1075098.552,1150785.447,1151090.73,1075035.782,1075090.368,1151416.396,1151747.691,1075466.382,1075356.575,1151237.978,1151483.31,1075325.01,1075312.556,1151491.569,1151745.36,1075438.978,1075419.028,1151260.275,1151603.452,1075406.958,1075455.625,1151191.289,1151527.718,1075205.596,1075165.802,1151063.649,1151384.277,1074962.168,1074783.763
,5,954247.9416,954749.1426,1074673.568,1074531.553,954991.6918,955060.1957,1075061.474,1074978.907,954820.7885,954883.4955,1074560.898,1074426.678,954662.4403,954963.6055,1075174.264,1075146.41,954984.7743,955386.0405,1075214.972,1075161.056,955108.2594,955500.4969,1075303.049,1075333.342,1151360.782,1151819.718,1075005.886,1075333.342,1151177.773,1151436.465,1075081.64,1075125.338,1151075.321,1151397.143,1075326.118,1075382.273,1151224.993,1151632.985,1075103.221,1075083.446,1151036.085,1151331.877,1075013.312,1075013.604,1151232.66,1151502.053,1074834.942,1074826.712,1150982.326,1151288.408,1074768.988,1074788.209,1151612.851,1151947.599,1075128.37,1074964.75,1151437.041,1151677.179,1074907.488,1074846.61,1151686.603,1151940.283,1075028.227,1074952.674,1151461.205,1151797.41,1075162.458,1075173.007,1151388.023,1151720.436,1075070.984,1075012.67,1151257.039,1151565.408,1074612.637,1074381.107
,6,952924.0319,953577.6625,1074684.963,1074577.496,953676.2527,953762.5084,1075116.32,1075043.283,953476.2457,953571.4007,1074747.898,1074648.218,953349.08,953684.6512,1075286.464,1075213.06,953730.5221,954060.2096,1075316.493,1075163.685,953806.4887,954212.8915,1075406.549,1075373.805,1150009.462,1150546.146,1075108.535,1075373.805,1149858.668,1150165.871,1075213.602,1075230.194,1149761.647,1150109.122,1075400.062,1075370.166,1149905.904,1150354.522,1075227.887,1075164.853,1149723.717,1150033.351,1075142.667,1075091.293,1149927.259,1150216.022,1074897.432,1074852.311,1149667.512,1149983.332,1074864.18,1074832.169,1150294.336,1150641.519,1075238.822,1075092.978,1150122.844,1150393.946,1075096.103,1075043.151,1150378.705,1150642.136,1075202.581,1075142.799,1150158.485,1150515.03,1075227.265,1075209.25,1150076.086,1150429.259,1075091.304,1074995.325,1149945.110,1150298.024,1074789.880,1074587.929
,7,952979.3823,953635.9971,1074572.745,1074537.412,953731.5314,953813.5944,1075012.446,1075006.27,953537.9297,953629.9443,1074698.059,1074646.788,953408.1708,953740.8815,1075139.587,1075153.632,953806.8608,954130.4728,1075119.625,1075087.761,953863.2178,954259.7453,1075250.079,1075297.51,1150070.712,1150603.29,1075010.291,1075297.51,1149915.741,1150211.474,1075093.314,1075182.94,1149818.684,1150157.347,1075189.315,1075248.752,1149962.552,1150400.75,1075134.565,1075124.715,1149780.872,1150078.391,1075035.72,1075040.977,1149985.117,1150261.149,1074744.655,1074765.563,1149725.726,1150029.315,1074721.495,1074747.066,1150358.926,1150695.074,1075134.348,1075046.589,1150182.978,1150441.792,1075037.871,1075015.316,1150438.613,1150688.208,1075137.658,1075116.603,1150215.382,1150558.595,1075078.552,1075119.438,1150129.091,1150471.166,1074864.741,1074823.177,1150001.709,1150349.549,1074696.250,1074539.992
,8,953079.7455,953714.366,1074589.111,1074560.722,953836.264,953916.4386,1075040.921,1075034.103,953643.3374,953731.3848,1074734.773,1074669.502,953512.3364,953836.779,1075159.143,1075182.403,953887.8894,954242.8357,1075128.844,1075124.466,953964.5716,954361.708,1075258.271,1075323.018,1150178.815,1150696.228,1075040.092,1075323.018,1150016.142,1150311.428,1075126.01,1075215.308,1149922.031,1150259.559,1075208.007,1075277.169,1150062.941,1150500.362,1075163.98,1075157.429,1149880.019,1150177.265,1075061.471,1075064.165,1150082.726,1150356.366,1074768.7,1074795.415,1149824.173,1150127.123,1074741.8,1074774.779,1150453.038,1150785.882,1075159.635,1075077.869,1150279.133,1150535.893,1075068.604,1075053.858,1150534.995,1150784.68,1075171.707,1075151.219,1150312.167,1150656.912,1075098.73,1075145.591,1150230.992,1150573.43,1074880.06,1074845.258,1150100.493,1150451.345,1074724.910,1074569.046
,9,953173.9718,953800.1672,1074600.146,1074559.57,953925.3511,954013.3695,1075039.752,1075031.292,953733.9437,953825.4443,1074700.848,1074627.179,953598.5136,953930.5532,1075156.988,1075182.288,953965.6717,954311.8095,1075129.104,1075153.25,954050.4303,954450.1005,1075259.124,1075327.85,1150265.372,1150789.722,1075026.783,1075327.85,1150108.259,1150405.987,1075101.888,1075209.12,1150007.364,1150346.996,1075199.04,1075286.139,1150150.564,1150591.768,1075147.351,1075149.771,1149966.723,1150268.527,1075051.332,1075061.533,1150169.752,1150450.032,1074770.865,1074795.63,1149911.344,1150218.915,1074739.604,1074778.428,1150541.932,1150881.659,1075163.836,1075066.833,1150366.809,1150627.977,1075034.002,1075017.904,1150621.414,1150878.236,1075143.736,1075121.263,1150396.925,1150748.703,1075096.975,1075149.898,1150317.104,1150664.396,1074879.136,1074847.401,1150187.087,1150533.117,1074694.950,1074538.198
,10,953327.7808,953913.9429,1074403.257,1074296.418,954131.0559,954190.6091,1074814.666,1074737.353,953935.3276,954011.759,1074365.576,1074266.102,953803.2479,954094.3352,1074926.442,1074881.609,954164.2363,954487.5673,1074962.548,1074918.066,954237.1333,954611.6608,1075053.158,1075069.039,1150474.057,1150956.711,1074777.951,1075069.039,1150307.215,1150575.28,1074833.469,1074881.311,1150193.38,1150507.53,1075062.292,1075104.105,1150326.09,1150752.814,1074860.493,1074821.924,1150137.968,1150429.397,1074786.147,1074757.382,1150337.851,1150605.195,1074581.749,1074555.762,1150076.54,1150376.629,1074528.545,1074518.994,1150696.325,1151028.924,1074890.264,1074720.834,1150532.091,1150780.278,1074678.609,1074625.001,1150787.167,1151033.36,1074805.325,1074734.017,1150580.952,1150909.271,1074904.803,1074915.604,1150491.642,1150825.823,1074789.863,1074731.711,1150366.501,1150690.613,1074413.124,1074194.391
