,2105,,,
,Red D105,Red D130,Blue 1st Order,Blue 2nd Order
,1.17162e-01,1.17149e-01,8.26553e-02,8.26636e-02
,1.42815e+01,1.42984e+01,1.40010e+01,1.44868e+01
,4.24797e+02,4.29231e+02,8.75423e+02,8.20427e+02
,1.00000e+00,1.00000e+00,1.00000e+00,1.00000e+00
,1.67200e-02,1.67200e-02,8.90080e-03,8.90080e-03
,5.85075e-04,5.87285e-04,5.50245e-04,5.56428e-04
,5.97635e+00,5.64539e+00,6.59861e+00,6.52288e+00
,1.74208e-06,1.33834e-06,1.05074e-05,7.81550e-06
,1150583.647,1150914.074,1075088.689,1074835.314
,1150728.753,1151055.201,1074957.114,1074790.083
,1150903.766,1151221.401,1074951.553,1074796.463
,1151063.649,1151384.277,1074962.168,1074783.763
,1151257.039,1151565.408,1074612.637,1074381.107
,1149945.110,1150298.024,1074789.880,1074587.929
,1150001.709,1150349.549,1074696.250,1074539.992
,1150100.493,1150451.345,1074724.910,1074569.046
,1150187.087,1150533.117,1074694.950,1074538.198
,1150366.501,1150690.613,1074413.124,1074194.391
,1149563.520,1149922.834,1074691.418,1074481.556
,1149554.316,1149909.343,1074596.263,1074439.818
,1149570.416,1149929.227,1074546.287,1074417.445
,1149584.299,1149943.991,1074553.855,1074415.754
,1149747.752,1150076.884,1074351.081,1074136.767
,1149825.781,1150158.593,1074663.827,1074480.390
,1149705.210,1150049.415,1074568.291,1074423.768
,1149641.695,1149990.169,1074569.494,1074400.941
,1149572.299,1149924.729,1074564.541,1074380.559
,1149736.012,1150074.759,1074333.805,1074112.746
,1150518.890,1150839.264,1074934.954,1074754.451
,1150350.657,1150680.311,1074802.095,1074661.298
,1150198.631,1150536.380,1074732.355,1074605.036
,1150053.704,1150398.787,1074731.629,1074579.567
,1150214.676,1150522.591,1074494.463,1074257.514      
