xid	yid	xpos	ypos
0	0	2.89	22.89
0	1	2.19	44.62
0	2	1.67	66.24
0	3	1.11	87.83
0	4	0.6	109.46
0	5	0.85	130.6
0	6	0.85	152
0	7	0.8	174
0	8	0.34	195.43
0	9	0.93	216.83
0	10	1.55	238.13
1	0	22.7	23.03
1	1	22	44.79
1	2	21.56	66.41
1	3	21.11	88.06
1	4	20.83	109.58
1	5	20.59	131.26
1	6	20.42	152.68
1	7	20.52	174.17
1	8	20.67	195.67
1	9	21	217.01
1	10	21.38	238.37
2	0	42.64	23.12
2	1	42	44.92
2	2	41.46	66.62
2	3	41.15	88.27
2	4	40.86	109.81
2	5	40.7	131.31
2	6	40.52	152.82
2	7	40.7	174.3
2	8	40.81	195.75
2	9	41.13	217.12
2	10	41.52	238.54
3	0	62.93	23.15
3	1	62.06	44.97
3	2	61.49	66.69
3	3	61.09	88.43
3	4	60.75	109.95
3	5	60.5	131.5
3	6	60.39	152.97
3	7	60.49	174.44
3	8	60.77	195.83
3	9	61.16	217.25
3	10	61.53	238.57
4	0	83.12	23.2
4	1	82.41	44.98
4	2	81.8	66.76
4	3	81.51	88.46
4	4	81.19	109.93
4	5	80.96	131.53
4	6	80.87	152.99
4	7	80.87	174.47
4	8	81.18	195.82
4	9	81.5	217.31
4	10	81.84	238.58
5	0	103.48	23.2
5	1	102.72	44.97
5	2	102.16	66.67
5	3	101.8	88.29
5	4	101.49	109.93
5	5	101.27	131.5
5	6	101.12	152.99
5	7	101.19	174.44
5	8	101.46	195.83
5	9	101.75	217.25
5	10	102.27	238.62
6	0	123.83	22.97
6	1	123	44.78
6	2	122.48	66.56
6	3	122.23	88.21
6	4	121.86	109.83
6	5	121.69	131.47
6	6	121.58	152.95
6	7	121.67	174.36
6	8	121.94	195.72
6	9	122.26	217.16
6	10	122.79	238.53
7	0	144.67	22.77
7	1	143.94	44.57
7	2	143.3	66.33
7	3	142.89	88.01
7	4	142.54	109.67
7	5	142.25	131.38
7	6	142.1	152.83
7	7	142.14	174.32
7	8	142.63	195.65
7	9	143.02	217.12
7	10	143.64	238.48
8	0	165.2	22.53
8	1	164.43	44.38
8	2	163.84	66.1
8	3	163.51	87.78
8	4	163.15	109.46
8	5	162.9	131.11
8	6	162.77	152.57
8	7	162.91	174.07
8	8	163.22	195.48
8	9	163.59	217
8	10	164.22	238.4
9	0	186.1	22.22
9	1	185.31	44.03
9	2	184.74	65.76
9	3	184.26	87.54
9	4	183.96	109.17
9	5	183.57	130.76
9	6	183.51	152.43
9	7	183.71	173.88
9	8	184	195.35
9	9	184.4	216.79
9	10	185.06	238.23
10	0	207.21	21.94
10	1	206.45	43.66
10	2	205.75	65.54
10	3	205.27	87.14
10	4	204.89	108.78
10	5	204.72	130.43
10	6	204.66	152.03
10	7	204.78	173.62
10	8	205.05	195.15
10	9	205.53	216.47
10	10	206.23	237.93
11	0	228.38	21.57
11	1	227.81	43.22
11	2	227.12	65.02
11	3	226.57	86.66
11	4	226.32	108.41
11	5	226.17	130.06
11	6	226.02	151.7
11	7	226.26	173.24
11	8	226.49	194.67
11	9	226.9	216.12
11	10	227.57	237.52
