xid	yid	xpos	ypos
0	0	8.35	17.23
0	1	7.56	39.03
0	2	7.01	60.82
0	3	6.47	82.49
0	4	6.26	104.35
0	5	6.03	126
0	6	5.92	147.57
0	7	5.9	169.26
0	8	6.02	190.73
0	9	6.28	212.3
0	10	6.56	233.72
1	0	28.19	17.54
1	1	27.32	39.46
1	2	26.92	61.22
1	3	26.57	82.97
1	4	26.15	104.64
1	5	25.92	126.42
1	6	25.77	147.99
1	7	25.79	169.54
1	8	25.92	191.16
1	9	26.2	212.58
1	10	26.49	234.1
2	0	48.14	17.85
2	1	47.57	39.7
2	2	46.86	61.47
2	3	46.47	83.33
2	4	46.11	104.99
2	5	45.84	126.64
2	6	45.7	148.32
2	7	45.73	169.88
2	8	45.91	191.55
2	9	46.2	212.97
2	10	46.47	234.55
3	0	68.33	18.06
3	1	67.43	39.92
3	2	66.95	61.78
3	3	66.62	83.49
3	4	66.2	105.26
3	5	65.94	126.93
3	6	65.81	148.47
3	7	65.79	170.17
3	8	66	191.67
3	9	66.3	213.27
3	10	66.57	234.71
4	0	88.51	18.29
4	1	87.68	40.13
4	2	87.1	61.98
4	3	86.68	83.72
4	4	86.46	105.54
4	5	86.13	127.13
4	6	85.93	148.76
4	7	85.95	170.48
4	8	86.2	191.93
4	9	86.33	213.58
4	10	86.86	234.92
5	0	108.76	18.44
5	1	108.02	40.27
5	2	107.51	62.1
5	3	107.05	83.87
5	4	106.71	105.56
5	5	106.56	127.34
5	6	106.3	148.95
5	7	106.33	170.45
5	8	106.41	192.08
5	9	106.8	213.52
5	10	107.23	235.08
6	0	129.26	18.51
6	1	128.51	40.31
6	2	127.8	62.14
6	3	127.51	83.93
6	4	127.12	105.68
6	5	126.83	127.51
6	6	126.57	149.06
6	7	126.64	170.6
6	8	126.91	192.15
6	9	127.25	213.63
6	10	127.61	235.2
7	0	149.76	18.46
7	1	148.97	40.23
7	2	148.36	62.15
7	3	147.9	83.93
7	4	147.62	105.61
7	5	147.33	127.56
7	6	147.12	149.11
7	7	147.15	170.66
7	8	147.45	192.26
7	9	147.73	213.75
7	10	148.26	235.3
8	0	170.4	18.34
8	1	169.42	40.13
8	2	168.83	62.04
8	3	168.45	83.91
8	4	168.08	105.63
8	5	167.83	127.51
8	6	167.62	149.11
8	7	167.7	170.64
8	8	167.94	192.28
8	9	168.32	213.77
8	10	168.75	235.33
9	0	191.02	18.19
9	1	190.22	40.07
9	2	189.49	61.9
9	3	189.07	83.76
9	4	188.74	105.48
9	5	188.38	127.37
9	6	188.43	149.03
9	7	188.54	170.59
9	8	188.63	192.2
9	9	189.02	213.69
9	10	189.43	235.28
10	0	211.92	17.99
10	1	211.14	39.88
10	2	210.59	61.8
10	3	210	83.52
10	4	209.64	105.45
10	5	209.53	127.21
10	6	209.39	148.87
10	7	209.52	170.4
10	8	209.6	192.1
10	9	210	213.52
10	10	210.58	235.11
11	0	233.03	17.81
11	1	232.35	39.67
11	2	231.72	61.54
11	3	231.2	83.39
11	4	230.78	105.17
11	5	230.49	126.95
11	6	230.37	148.62
11	7	230.48	170.36
11	8	230.81	191.89
11	9	231.17	213.49
11	10	231.65	234.92
